paper_id,title,research_topic,limitation_category,limitation
10.1109_southeastcon63549.2026.11476233,Hybrid Deep Learning and Statistical Forecasting for Short Term Electric Load,Electrical Load Forecasting,Methodological,Findings may not be fully validated across diverse grid contexts beyond the presented case.
10.1109_southeastcon63549.2026.11476233,Hybrid Deep Learning and Statistical Forecasting for Short Term Electric Load,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_southeastcon63549.2026.11476233,Hybrid Deep Learning and Statistical Forecasting for Short Term Electric Load,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.1109_southeastcon63549.2026.11476233,Hybrid Deep Learning and Statistical Forecasting for Short Term Electric Load,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1007_s13369-025-10710-z,Short-Term Residential Load Forecasting Using Textual Embeddings-Based Multi-encoder Transformer,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1007_s13369-025-10710-z,Short-Term Residential Load Forecasting Using Textual Embeddings-Based Multi-encoder Transformer,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.1007_s13369-025-10710-z,Short-Term Residential Load Forecasting Using Textual Embeddings-Based Multi-encoder Transformer,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.36227_techrxiv.176834460.00474942_v1,Industrial Power Load Forecasting for Grid Operation Using a CNN-Transformer-BiLSTM Model,Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.36227_techrxiv.176834460.00474942_v1,Industrial Power Load Forecasting for Grid Operation Using a CNN-Transformer-BiLSTM Model,Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.2139_ssrn.6025586,"Optimizing AMI Data Acquisition for Residential Load Forecasting: Minimum Requirements for Interval, Precision, and Historical Duration",Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.2139_ssrn.6025586,"Optimizing AMI Data Acquisition for Residential Load Forecasting: Minimum Requirements for Interval, Precision, and Historical Duration",Electrical Load Forecasting,Methodological,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight.
10.2139_ssrn.6025586,"Optimizing AMI Data Acquisition for Residential Load Forecasting: Minimum Requirements for Interval, Precision, and Historical Duration",Electrical Load Forecasting,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.2139_ssrn.6170506,"Optimizing AMI Data Acquisition for Residential Load Forecasting Minimum Requirements for Interval, Precision, and Historical Duration",Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tsg.2026.3694866,Microgrid Under-Frequency Load Shedding Strategy Integrating LMC-Shapley Value and Knowledge Distillation,SHAP,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tsg.2026.3694866,Microgrid Under-Frequency Load Shedding Strategy Integrating LMC-Shapley Value and Knowledge Distillation,SHAP,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tsg.2026.3662195,Novel Decentralized Load Shedding Algorithm for Preserving Voltage Stability in Smart Grids,Load Shedding Prediction,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tsg.2026.3662195,Novel Decentralized Load Shedding Algorithm for Preserving Voltage Stability in Smart Grids,Load Shedding Prediction,Task formulation,Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers.
10.1109_tsg.2026.3662195,Novel Decentralized Load Shedding Algorithm for Preserving Voltage Stability in Smart Grids,Load Shedding Prediction,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tsg.2026.3660327,Machine Learning-Based Long-Term Forecasting of Load Composition Considering Exogenous Variables,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tsg.2026.3660327,Machine Learning-Based Long-Term Forecasting of Load Composition Considering Exogenous Variables,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1109_tsg.2026.3668905,Bayesian-Optimized Deep Learning for Adaptive Real-Time FDIA Detection in Smart Grid Demand Response Systems,Smart Grid Analytics,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
10.1109_tsg.2026.3668905,Bayesian-Optimized Deep Learning for Adaptive Real-Time FDIA Detection in Smart Grid Demand Response Systems,Smart Grid Analytics,Generalisation,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.
10.1016_j.epsr.2025.111834,Forecasting load consumption: a comprehensive evaluation of deep learning and machine learning techniques,Electrical Load Forecasting,Metadata constraint,Analysis constrained by missing/short abstract in catalog metadata.
