feature_name,blueprint_priority,feature_category,mathematical_definition,required_input_columns,implementation_status,blueprint_reference
day_of_year_sin,High,Temporal,sin(2π · doy(t) / 365.25) where doy = day-of-year from Date,Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
day_of_year_cos,High,Temporal,cos(2π · doy(t) / 365.25),Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
trend_index,High,Temporal,t_idx = (Date - Date_min).days; optionally StandardScaled on train,Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
gap_days_since_previous_observation,High,Temporal,Δt = (Date_t - Date_{t-1}).days; first row = NaN or 0,Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
total_regional_demand,High,Grid,D_total(t) = Σ_r D_r(t),all regional demand columns,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
total_regional_load,High,Grid,L_total(t) = Σ_r L_r(t),,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
generation_reserve,High,Grid,GR(t) = Highest Generation(t) - Max Eve Peak Gen-end(t),Highest Generation (Generation end); Max. Demand at eve. peak (Generation end),Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
temperature_anomaly_month,High,Weather,"TA(t) = T(t) - μ_T,month; μ computed on train split only per calendar month",Maximum Temperature in Dhaka was; Month,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
total_operational_limitation,High,Operational,TOL(t) = Gas/LF + Coal + Water + Shutdown MW,Gas/LF limitation; Coal supply Limitation; Low water level in Kaptai lake; Plants under shut down/ maintenance,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
operational_stress_index,High,Operational,OSI(t) = w1·(L_total/D_total) + w2·(1-GR/Highest Gen) + w3·TOL/Highest Gen; weights w from train-only normalisation (fixed after fit),total_regional_load; total_regional_demand; generation_reserve; total_operational_limitation; Highest Generation (Generation end),Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
any_regional_shedding,High,Operational,ARS(t) = 1 if ∃r: L_r(t) > 0 else 0,all regional load columns,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
demand_lag_1_Dhaka,High,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Dhaka_demand; Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
demand_lag_1_Chattogram,High,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Chattogram_demand; Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
demand_lag_1_Rajshahi,High,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Rajshahi_demand; Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
demand_lag_1_Mymensingh,High,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Mymensingh_demand; Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
demand_lag_1_Sylhet,High,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Sylhet_demand; Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
demand_lag_1_Barishal,High,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Barishal_demand; Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
demand_lag_1_Rangpur,High,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Rangpur_demand; Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
demand_lag_1_Cumilla,High,Temporal,D_r(t-1) using strictly past observed row (not calendar day if gap),Cumilla_demand; Date,Implemented,results/phases/phase_05A_feature_blueprint/feature_inventory.csv
