catalog_index,paper_id,title,authors,year,journal,publisher,doi,link,abstract,keywords,citation_count,research_topic,source_priority,collection_method
1,10.1109_southeastcon63549.2026.11476233,Hybrid Deep Learning and Statistical Forecasting for Short Term Electric Load,Sevan Brodjian; Jason Liao; Abhishek Goswami; Prasenjit Shil,2026,SoutheastCon 2026,IEEE,10.1109/southeastcon63549.2026.11476233,https://doi.org/10.1109/southeastcon63549.2026.11476233,,,0,Electrical Load Forecasting,Priority 1,CrossRef
2,10.1007_s13369-025-10710-z,Short-Term Residential Load Forecasting Using Textual Embeddings-Based Multi-encoder Transformer,Vangipuram Srinivasa Raghavan; A. V. Giridhar,2026,Arabian Journal for Science and Engineering,Springer,10.1007/s13369-025-10710-z,https://link.springer.com/content/pdf/10.1007/s13369-025-10710-z.pdf,,,0,Electrical Load Forecasting,Priority 1,CrossRef
3,10.36227_techrxiv.176834460.00474942_v1,Industrial Power Load Forecasting for Grid Operation Using a CNN-Transformer-BiLSTM Model,Remon Das,2026,,IEEE,10.36227/techrxiv.176834460.00474942/v1,https://doi.org/10.36227/techrxiv.176834460.00474942/v1,"In the time of AI era, Industrial power load gradually rising due to the rapid expansion of the chip manufacturing facilities. So that accurate forecasting of industrial power load is important to achieve efficient grid planning and overall energy management. But, due to the nonlinear, volatile and multi scale nature of industrial power load data, the conventional statistical model face challenges in forecasting efficiently. To address these challenges, a novel hybrid deep learning model, CNN-Transformer-BiLSTM has been proposed that integrates the feature extraction capacity of convolutional neural networks (CNN), the long-range dependency modeling of the transformer architecture and the sequential learning strength of bidirectional long, short-term memory (BiLSTM) networks. The CNN layers efficiently capture the local temporal patterns and feature correlations within the load data sets, Transformer layers employs self-attention mechanisms to model complex long-term dependencies and contextual relationships. The BiLSTM layer further enhances temporal representation by learning bidirectional dependencies, thus improving the overall prediction accuracy. Historical monthly industrial electricity load data from the U.S. Energy Information Administration (EIA) spanning over two decades are used to train and evaluate the model. The proposed model output has been compared with other standalone and hybrid deep learning models. The proposed CNN-Transformer-BiLSTM achieves superior forecasting accuracy with Mean Absolute Percentage Error (MAPE) of 1.23%, Root Mean Square Error (RMSE) of 1,276 MWh and Mean Absolute Error (MAE) of 1,040 MWh.",,0,Electrical Load Forecasting,Priority 1,CrossRef
4,10.2139_ssrn.6025586,"Optimizing AMI Data Acquisition for Residential Load Forecasting: Minimum Requirements for Interval, Precision, and Historical Duration",Lee Hanpyo,2026,,Elsevier,10.2139/ssrn.6025586,https://doi.org/10.2139/ssrn.6025586,,,0,Electrical Load Forecasting,Priority 1,CrossRef
5,10.2139_ssrn.6170506,"Optimizing AMI Data Acquisition for Residential Load Forecasting Minimum Requirements for Interval, Precision, and Historical Duration",Lee Hanpyo,2026,,Elsevier,10.2139/ssrn.6170506,https://doi.org/10.2139/ssrn.6170506,"As Advanced Metering Infrastructure (AMI) becomes a global standard, the lack of standardized guidelines for data collection strategies remains a critical challenge for utilities. This paper investigates how AMI data characteristics—measurement interval, precision, and historical data length—affect residential load forecasting accuracy. Using real-world AMI data from 3,000 households, 8 forecasting models, ranging from conventional machine learning to advanced neural networks, are evaluated across very short-term, short-term, and medium-term horizons. The results indicate that a 15-30 min measurement interval, at least one decimal precision, and a minimum of 6 months of historical data achieve an effective trade-off between forecasting accuracy and data storage efficiency. To support region-specific tariff schemes and the reliable selection of participants for demand response programs, a cluster-based forecasting framework incorporating Hierarchical Clustering with Dynamic Time Warping is further investigated, demonstrating that the identified optimal AMI settings preserve comparable forecasting performance. In addition, a pre-trained transformer-based model (TimeGPT) combined with time-series decomposition achieves comparable accuracy using only 4 months of data. These findings provide practical guidance for designing data efficient AMI systems.",,0,Smart Grid Analytics,Priority 1,CrossRef
6,10.1109_tsg.2026.3694866,Microgrid Under-Frequency Load Shedding Strategy Integrating LMC-Shapley Value and Knowledge Distillation,Can Wang; Zhijun Li; Zhen Wang; Lei Xi; Nan Yang; Zhuoli Zhao; Chun Sing Lai; Loi Lei Lai,2026,IEEE Transactions on Smart Grid,IEEE,10.1109/tsg.2026.3694866,https://doi.org/10.1109/tsg.2026.3694866,,,0,SHAP,Priority 1,CrossRef
7,10.1109_tsg.2026.3662195,Novel Decentralized Load Shedding Algorithm for Preserving Voltage Stability in Smart Grids,Amir Haji-Mohammadi; Majid Sanaye-Pasand; Moein Abedini,2026,IEEE Transactions on Smart Grid,IEEE,10.1109/tsg.2026.3662195,https://doi.org/10.1109/tsg.2026.3662195,,,0,Load Shedding Prediction,Priority 1,CrossRef
8,10.1109_tsg.2026.3660327,Machine Learning-Based Long-Term Forecasting of Load Composition Considering Exogenous Variables,Airam Perez Guillen; Jovica V. Milanović,2026,IEEE Transactions on Smart Grid,IEEE,10.1109/tsg.2026.3660327,https://doi.org/10.1109/tsg.2026.3660327,,,0,Smart Grid Analytics,Priority 1,CrossRef
9,10.1109_tsg.2026.3668905,Bayesian-Optimized Deep Learning for Adaptive Real-Time FDIA Detection in Smart Grid Demand Response Systems,Aschalew Tirulo; Siddhartha Chauhan; Biju Issac; Lukas Gebremariam; Athanasios Vasilakos; Miadreza Shafie-khah,2026,IEEE Transactions on Smart Grid,IEEE,10.1109/tsg.2026.3668905,https://doi.org/10.1109/tsg.2026.3668905,,,0,Smart Grid Analytics,Priority 1,CrossRef
10,10.1016_j.epsr.2025.111834,Forecasting load consumption: a comprehensive evaluation of deep learning and machine learning techniques,Hmeda Musbah; Meftah Elsaraiti,2025,Electric Power Systems Research,Elsevier,10.1016/j.epsr.2025.111834,https://api.elsevier.com/content/article/PII:S0378779625004250?httpAccept=text/xml,,,6,Electrical Load Forecasting,Priority 1,CrossRef
11,10.2139_ssrn.5929608,A Constrained-Optimization Ensemble of Deep Learning Models for Sector-Specific Electric Load Forecasting,Amirhossein Yousefi Joobeni; Mahdi Naghavi; Abolfazl Ahmadi; Reza Dashti,2025,,Elsevier,10.2139/ssrn.5929608,https://doi.org/10.2139/ssrn.5929608,,,0,Electrical Load Forecasting,Priority 1,CrossRef
12,10.2139_ssrn.5266806,A Hybrid Deep Learning Framework for Multivariate Energy Forecasting and Peak Load Prediction in Electric Vehicle Charging Infrastructure,Muhammad Waqar; Yong-Woon Kim; Yung-Cheol Byun,2025,,Elsevier,10.2139/ssrn.5266806,https://doi.org/10.2139/ssrn.5266806,,,0,Electrical Load Forecasting,Priority 1,CrossRef
13,10.2139_ssrn.5218780,Forecasting Composition and Controllability of a Small-Scale Residential Load Using Deep Learning,Shengye QI; Jovica Milanovic,2025,,Elsevier,10.2139/ssrn.5218780,https://doi.org/10.2139/ssrn.5218780,,,0,Electrical Load Forecasting,Priority 1,CrossRef
14,10.1109_tpec63981.2025.10906984,Equity-Aware Load Shedding Optimization in Interdependent Power and Gas Networks Against Rising Temperatures,Ahmad Alnakhli; Payman Dehghanian; Maeshal Hijazi; Ali Alawad,2025,2025 IEEE Texas Power and Energy Conference (TPEC),IEEE,10.1109/tpec63981.2025.10906984,https://doi.org/10.1109/tpec63981.2025.10906984,,,1,Load Shedding Prediction,Priority 1,CrossRef
15,10.1109_itis67966.2025.11308934,Adaptive Load Shedding for Tambora Sub-System using Particle Swarm Optimization,Anung Hermawan; Dimas Fajar Uman Putra; Hendra Kusuma,2025,2025 IEEE 11th Information Technology International Seminar (ITIS),IEEE,10.1109/itis67966.2025.11308934,https://doi.org/10.1109/itis67966.2025.11308934,,,0,Load Shedding Prediction,Priority 1,CrossRef
16,10.1109_powertech59965.2025.11180549,A Two-Stage Machine Learning Framework for Predicting Spatial Load Shedding in Cascading Power System Failures,George Paphitis; Mathaios Panteli,2025,2025 IEEE Kiel PowerTech,IEEE,10.1109/powertech59965.2025.11180549,https://doi.org/10.1109/powertech59965.2025.11180549,,,0,Load Shedding Prediction,Priority 1,CrossRef
