catalog_index,paper_id,title,doi,year,research_topic,problem,dataset,features,model,explainability_method,strengths,weaknesses,limitations,future_opportunities,relevance_to_stgt_paper
1,10.1109_southeastcon63549.2026.11476233,Hybrid Deep Learning and Statistical Forecasting for Short Term Electric Load,10.1109/southeastcon63549.2026.11476233,2026,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),deep learning,None reported in available metadata,Core load-forecasting competency underpins primary STGT regression heads. | Hybrid/ensemble designs offer ablation baselines for STGT comparisons.,"Conference format often limits dataset breadth, ablation depth, and reproducibility detail. | No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Findings may not be fully validated across diverse grid contexts beyond the presented case. | Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
2,10.1007_s13369-025-10710-z,Short-Term Residential Load Forecasting Using Textual Embeddings-Based Multi-encoder Transformer,10.1007/s13369-025-10710-z,2026,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Residential load/AMI data (region not fully specified in metadata),textual embeddings,transformer; multi-encoder transformer,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Core load-forecasting competency underpins primary STGT regression heads.,"No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
3,10.36227_techrxiv.176834460.00474942_v1,Industrial Power Load Forecasting for Grid Operation Using a CNN-Transformer-BiLSTM Model,10.36227/techrxiv.176834460.00474942/v1,2026,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),US EIA industrial electricity statistics,Historical load and calendar covariates (inferred from title),transformer; bilstm; lstm; cnn; deep learning; neural network,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Sufficient abstract detail enables method-level critique beyond title inference. | Core load-forecasting competency underpins primary STGT regression heads.,No citation record yet; external validation of impact is unproven. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.,Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
4,10.2139_ssrn.6025586,"Optimizing AMI Data Acquisition for Residential Load Forecasting: Minimum Requirements for Interval, Precision, and Historical Duration",10.2139/ssrn.6025586,2026,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Residential load/AMI data (region not fully specified in metadata),AMI interval load measurements,electrical load forecasting,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Core load-forecasting competency underpins primary STGT regression heads.,"No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
5,10.2139_ssrn.6170506,"Optimizing AMI Data Acquisition for Residential Load Forecasting Minimum Requirements for Interval, Precision, and Historical Duration",10.2139/ssrn.6170506,2026,Smart Grid Analytics,Short-/medium-term energy or load forecasting (smart grid analytics),Residential load/AMI data (region not fully specified in metadata),AMI interval load measurements; demand-response participation signals; cluster-based load profiles,transformer; timegpt; machine learning; neural network,None reported in available metadata,"Journal venue provides peer-reviewed validation beyond conference abstracts. | Sufficient abstract detail enables method-level critique beyond title inference. | Covers demand response, cyber analytics, or AMI practices relevant to smart-grid deployment.",No citation record yet; external validation of impact is unproven. | Broad analytics scope; forecasting/shedding may be secondary to control or security objectives. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.,No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).",Low — peripheral: forecasting/analytics without explicit graph or shedding focus
6,10.1109_tsg.2026.3694866,Microgrid Under-Frequency Load Shedding Strategy Integrating LMC-Shapley Value and Knowledge Distillation,10.1109/tsg.2026.3694866,2026,SHAP,Operational control/assessment of load shedding under frequency or stability constraints,Islanded/microgrid operational scenarios,frequency / stability signals,knowledge distillation,SHAP / Shapley-value explainability,"Published in a high-impact, field-relevant journal with rigorous peer review. | Directly supports explainable STGT claims required by the project manuscript. | Game-theoretic attribution suitable for tree and neural models post-hoc.","No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | SHAP for graph-temporal models is computationally expensive and may misattribute correlated regional features.",Analysis constrained by missing/short abstract in catalog metadata. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Apply SHAP to node-level and global graph features separately for operator-facing explanations. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,High — load-shedding focus matches project target; explainability track aligns with manuscript goal
7,10.1109_tsg.2026.3662195,Novel Decentralized Load Shedding Algorithm for Preserving Voltage Stability in Smart Grids,10.1109/tsg.2026.3662195,2026,Load Shedding Prediction,Operational control/assessment of load shedding under frequency or stability constraints,Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),load shedding prediction,None reported in available metadata,"Published in a high-impact, field-relevant journal with rigorous peer review. | Directly targets load-shedding decision/control—high operational relevance.","No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Many works optimise shedding actions rather than forecast shedding intensity—different learning objective from STGT regression/classification. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Sparse shedding labels (confirmed in project Phase 02) are rarely addressed in control-oriented papers. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Bridge shedding prediction with zero-inflated or event-aware forecasting rather than pure optimisation. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Medium — load-shedding focus matches project target
8,10.1109_tsg.2026.3660327,Machine Learning-Based Long-Term Forecasting of Load Composition Considering Exogenous Variables,10.1109/tsg.2026.3660327,2026,Smart Grid Analytics,Short-/medium-term energy or load forecasting (smart grid analytics),Not explicitly stated in available metadata,exogenous variables,machine learning,None reported in available metadata,"Published in a high-impact, field-relevant journal with rigorous peer review. | Covers demand response, cyber analytics, or AMI practices relevant to smart-grid deployment.","No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Broad analytics scope; forecasting/shedding may be secondary to control or security objectives. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).",Low — peripheral: forecasting/analytics without explicit graph or shedding focus
9,10.1109_tsg.2026.3668905,Bayesian-Optimized Deep Learning for Adaptive Real-Time FDIA Detection in Smart Grid Demand Response Systems,10.1109/tsg.2026.3668905,2026,Smart Grid Analytics,"Smart-grid operational analytics (demand response, security, or cyber resilience)",Not explicitly stated in available metadata,demand-response participation signals,bayesian-optimized; deep learning,None reported in available metadata,"Published in a high-impact, field-relevant journal with rigorous peer review. | Covers demand response, cyber analytics, or AMI practices relevant to smart-grid deployment.","No citation record yet; external validation of impact is unproven. | Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Broad analytics scope; forecasting/shedding may be secondary to control or security objectives. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,"Extract transferable covariates (AMI cadence, DR participation) for feature engineering. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).",Low — peripheral: forecasting/analytics without explicit graph or shedding focus
10,10.1016_j.epsr.2025.111834,Forecasting load consumption: a comprehensive evaluation of deep learning and machine learning techniques,10.1016/j.epsr.2025.111834,2025,Electrical Load Forecasting,Short-/medium-term energy or load forecasting (electrical load forecasting),Not explicitly stated in available metadata,Historical load and calendar covariates (inferred from title),machine learning; deep learning,None reported in available metadata,Journal venue provides peer-reviewed validation beyond conference abstracts. | Core load-forecasting competency underpins primary STGT regression heads.,"Reproducibility assessment limited because dataset, splits, and baselines are not documented in metadata. | Predominantly single-series or single-site forecasting; limited multi-node coupling. | Absence of explicit graph structure limits direct architectural transfer to STGT. | No explainability mechanism—insufficient for explainable STGT research claims.",Analysis constrained by missing/short abstract in catalog metadata. | Rarely models load-shedding jointly with demand; task isolation limits multi-task insight. | No Bangladesh or South-Asia grid case study—external validity to project dataset is unproven.,Extend univariate forecast pipelines to graph-coupled multi-task targets. | Replicate or benchmark on Bangladesh daily smart-grid data (project raw/interim sets).,Low — peripheral: forecasting/analytics without explicit graph or shedding focus
